,,,JAÚ SERVE,TENDA ATACADO,,,
Item,Peso/Quantidade/Volume,Marca,Preço Unitário (R$),URL,Preço Unitário (R$),Diferença (R$),Diferença (%)
Achocolatado em pó,400g,Nescau,"R$6,98",https://tenda-api.stoomlab.com.br/api/public/store/product/achocolatado-em-po-nescau-400g-2348 ,"R$6,09","-R$0,89","-12,75%"
Açúcar Refinado,1Kg,União,"R$3,98",,"R$3,89","-R$0,09","-2,26%"
Açúcar Cristal Orgânico,1Kg,União,"R$6,79",https://tenda-api.stoomlab.com.br/api/public/store/product/acucar-cristal-organico-uniao-1kg-12562,"R$4,69","-R$2,10","-30,93%"
Água Sanitária,2L,Super Cândida,-,https://tenda-api.stoomlab.com.br/api/public/store/product/agua-sanitaria-super-candida-2l-1278,"R$4,69",-,-%
Amaciante Aconchego Azul,2L,Ype,"R$8,48",,"R$7,19","-R$1,29","-15,21%"
Alvejante Super Barra White,75g,Vanish,"R$6,39",https://tenda-api.stoomlab.com.br/api/public/store/product/alvejante-em-barra-super-white-vanish-75g-27490,"R$4,09","-R$2,30","-35,99%"
Arroz Branco Tipo 1,1Kg,Prato Fino,,https://tenda-api.stoomlab.com.br/api/public/store/product/arroz-tipo-1-prato-fino-1kg-2092,"R$5,19",,
Arroz Branco Tipo 1,5Kg,Prato Fino,-,https://tenda-api.stoomlab.com.br/api/public/store/product/arroz-tipo-1-prato-fino-5kg-835,"R$22,29",-,-%
Arroz Integral,1Kg,Prato Fino,"R$6,90",https://tenda-api.stoomlab.com.br/api/public/store/product/arroz-integral-prato-fino-1kg-2591,"R$5,49","-R$1,41","-20,43%"
,1Kg,Camil,"R$7,99",https://tenda-api.stoomlab.com.br/api/public/store/product/arroz-integral-camil-1kg-1647,"R$4,39","-R$3,60","-45,06%"
Atum Ralado ao Natural,170g,Gomes Costa,"R$5,45",,"R$5,39","-R$0,06","-1,10%"
Aveia em Flocos Finos,165g,Quaker,"R$4,85",https://tenda-api.stoomlab.com.br/api/public/store/product/aveia-em-flocos-finos-quaker-165g-3977,"R$2,89","-R$1,96","-40,41%"
Azeite Extra Virgem garrafa vidro,500ml,Gallo,"R$25,95",,"R$23,49","-R$2,46","-9,48%"
Azeite Puro garrafa vidro,500ml,Gallo,"R$22,98",,"R$19,79","-R$3,19","-13,88%"
Azeitona verde com caroço pote vidro,200g,Imperador,-,,"R$4,69",-,-%
Biscoito Sabor Leite e Aveia,75g,Belvita,"R$3,29",https://tenda-api.stoomlab.com.br/api/public/store/product/biscoito-sabor-leite-e-aveia-belvita-75g-16371,"R$2,89","-R$0,40","-12,16%"
,225g,,-,https://tenda-api.stoomlab.com.br/api/public/store/product/biscoito-sabor-leite-e-aveia-belvita-225g-16375,"R$8,09",-,-%
Bisnaguinha,300g,Panco,"R$6,69",,"R$5,69","-R$1,00","-14,95%"
Branqueador banheiro sem cloro,500ml,Veja,"R$14,78",,"R$9,19","-R$5,59","-37,82%"
Café Tradicional,500g,Pilão,"R$16,90",https://tenda-api.stoomlab.com.br/api/public/store/product/cafe-tradicional-pilao-500g-244,"R$15,29","-R$1,61","-9,53%"
Catchup Picante,397g,Heinz,"R$14,75",,"R$10,39","-R$4,36","-29,56%"
Catchup Picles,397g,Heinz,,,"R$10,62",,
Cereal Chocolate,270g,Nescau,"R$8,98",,"R$8,29","-R$0,69","-7,68%"
Cerveja Puro Malte,350ml,Império,"R$2,49",,"R$2,39","-R$0,10","-4,02%"
Cerveja Duplo Malte lata,350ml,Brahma,"R$2,99",,"R$3,19","R$0,20","6,69%"
Desinfetante Lavanda Active Fresh,500ml,Harpic,"R$12,58",https://tenda-api.stoomlab.com.br/api/public/store/product/desinfetante-lavanda-active-fresh-harpic-500ml,"R$4,49","-R$8,09","-64,31%"
Desinfetante cloro gel squeeze,500ml,Pato,"R$8,98",,"R$11,29","R$2,31","25,72%"
Detergente Líquido,500ml,Limpol,"R$2,20",https://tenda-api.stoomlab.com.br/api/public/store/product/detergente-liquido-limpol-neutro-500ml-182,"R$1,49","-R$0,71","-32,27%"
"Embalagem Multiuso p/ Freezer ensaca tudo 22,5cmx37cm",50 unidades (2Kg),Wyda,-,https://tenda-api.stoomlab.com.br/api/public/store/product/embalagem-multiuso-para-freezer-wyda-2kg-17537,"R$7,49",-,-%
"Embalagem Multiuso p/ Freezer ensaca tudo 22,5cmx37cm",50 unidades (3Kg),Wyda,-,https://tenda-api.stoomlab.com.br/api/public/store/product/embalagem-multiuso-para-freezer-wyda-3kg-17535,"R$9,09",-,-%
"Embalagem Multiuso p/ Freezer ensaca tudo 22,5cmx40cm",50 unidades (5Kg),Wyda,-,https://tenda-api.stoomlab.com.br/api/public/store/product/embalagem-multiuso-para-freezer-wyda-5kg-17539,"R$8,29",-,-%
Esponja de Louça,4 unidades,Scotch,"R$7,25",,"R$4,69","-R$2,56","-35,31%"
Extrato Tomate,310g,Elefante,"R$5,49",https://tenda-api.stoomlab.com.br/api/public/store/product/ext-tom-elefante-pt-310g,"R$3,89","-R$1,60","-29,14%"
Farinha de milho flocão,500g,Yoki,"R$4,59",,"R$2,59","-R$2,00","-43,57%"
Farofa de mandioca pronta,500g,Yoki,"R$6,98",https://tenda-api.stoomlab.com.br/api/public/store/product/farofa-pronta-de-mandioca-yoki-500g-629,"R$5,09","-R$1,89","-27,08%"
Feijão carioca,1Kg,Camil,"R$7,99",,"R$6,69","-R$1,30","-16,27%"
Filme PVC 28cmx30m,1 unidade,Wyda,"R$8,65",,"R$5,19","-R$3,46","-40,00%"
Folha de Alumínio 30cmx4m,1 unidade,Wyda,,,"R$2,29",,
"Folha de Alumínio 45cmx7,5m",1 unidade,Wyda,"R$8,55",,"R$6,29","-R$2,26","-26,43%"
Forro Fogão,12 unidades,Wyda,"R$8,95",https://tenda-api.stoomlab.com.br/api/public/store/product/forro-para-fogao-wyda-12un-16650,"R$5,39","-R$3,56","-39,78%"
Hastes Flexíveis,300 unidades,Topz,-,https://tenda-api.stoomlab.com.br/api/public/store/product/haste-flex-topz-300un--14215,"R$8,69",-,-%
Lã de aço,8 unidades,Bombril,"R$1,98",,"R$1,99","R$0,01","0,51%"
Lava Roupa Líquido Concentrado Downy,2L,Ariel,-,https://tenda-api.stoomlab.com.br/api/public/store/product/lava-roupa-liq-ariel-conc-t-downy-2l-15238,"R$28,39",-,-%
Lava Roupa Líquido,1L,Ares,-,,"R$14,49",-,-%
